Scraping time;Link;Price;Availability;Rozšířená záruka;Úhlopříčka;Typ rozlišení;Rozlišení;Typ panelu;Obnovovací frekvence;Odezva;Maximální jas;Barevná hloubka;Kontrast;Konstrukce;Typ připojení;Další připojení;Kabely v balení;Hlavní funkce;Další funkce;Barva;Šířka;Výška;Hloubka;Hmotnost;Spotřeba v SDR režimu;Energetická třída v SDR režimu;Typická spotřeba;Stand-by spotřeba (pohotovostní);Země;Povrch displeje;Poměr stran;HDMI;DisplayPort;USB-C;USB;Barevné pokrytí (sRGB);Maximální výkon Power Delivery;VESA uchycení;Synchronizace obrazu;Spotřeba v HDR režimu;Energetická třída v HDR režimu;Maximální spotřeba;Barevné pokrytí (Adobe RGB);VGA;Třída energetické účinnosti;Aplikace;Thunderbolt / USB 4;Provozní čas;Provozní teplota (min.);Provozní teplota (max.);Relativní vlhkost (min.);Relativní vlhkost (max.);mini DisplayPort;DVI;Maximální rozlišení;Obnovovací frekvence panelu;Technologie;Další vlastnosti obrazu;Podporované HDR standardy;Operační systém;Typ;Modelový rok;SMART funkce;Kompatibilita s hlasovým asistentem;Multimediální funkce;Herní funkce;Bezdrátové připojení;Vstupy a výstupy;Typ tuneru;Výška bez podstavce;Šířka podstavce / rozteč nožiček;Ovladač v balení;Hloubka bez podstavce;Úhlopříčka displeje;Platforma;Konektivita;Obnovovací frekvence displeje;Typ grafické karty;Konvertibilita;Optická mechanika;Výška maximální;Podsvícení
2023-11-17 16:21:32;https://www.alza.cz/27-benq-gw2780-d5100553.htm#parametry;3 390;Skladem;Bez rozšířené záruky;"27"" (68,58 cm)";Full HD;1920 × 1080 px;IPS;60 Hz;5 ms;250 cd/m2;8 bit;1000:1;Rovná;DisplayPort, HDMI 1.4, VGA;Sluchátkový výstup;HDMI;Reproduktory, Flicker-free, Filtr modrého světla;Automatická regulace jasu;Černá;61,2 cm;46,3 cm;18,3 cm;4,85 kg;19 kWh/1000h;E;32 W;0,5 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:33;https://www.alza.cz/27-dell-ultrasharp-u2722de-d6436443.htm#parametry;9 289;Skladem > 5 ks;;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;IPS;60 Hz;8 ms;350 cd/m2;;1000:1;Rovná;DisplayPort 1.4, HDMI 1.4, USB-C;RJ-45 (LAN), Sluchátkový výstup;;Nastavitelná výška, Pivot;;Černá, Stříbrná;61,13 cm;38,51 cm;18,49 cm;4,78 kg;20 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;1 ×;1 ×;3 ×;4 ×;100 %;90 W;100×100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:35;https://www.alza.cz/32-gigabyte-m32qc-d6683818.htm#parametry;7 990;Skladem;;"31,5"" (80,01 cm)";Quad HD;2560 × 1440 px;VA;165 Hz;1 ms;350 cd/m2;8 bit;3000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0, USB-C;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB;Nastavitelná výška, HDR, Flicker-free, Filtr modrého světla;;Černá;71,1 cm;55,2 cm;23,5 cm;7,8 kg;40 kWh/1000h;G;;;;Matný;16:9;2 ×;1 ×;1 ×;2 ×;123 %;;100×100;FreeSync;64 kWh/1000h;G;81 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:36;https://www.alza.cz/32-philips-329p1h-00-4k-d6345249.htm#parametry;14 590;Skladem 3 ks;Prodloužená záruka;"31,5"" (80,01 cm)";4K;3840 × 2160 px;IPS;60 Hz;;350 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.4, HDMI 2.0, USB-C;RJ-45 (LAN), Sluchátkový výstup, USB 3.2 Gen 2 (USB 3.1);;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Webkamera, Automatická regulace jasu, Power Delivery, Senzor přítomnosti;Černá;71,4 cm;64,9 cm;28 cm;12,2 kg;40 kWh/1000h;G;31,8 W;0,3 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;1 ×;4 ×;128 %;;100×100;G-Sync kompatibilní;;;31,8 W;89 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:37;https://www.alza.cz/31-5-lg-32mn500m-d6327213.htm#parametry;3 990;Skladem;;"31,5"" (80,01 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;;250 cd/m2;;;;HDMI 1.4;Sluchátkový výstup;;;;Černá;72,9 cm;51 cm;20,9 cm;6,6 kg;24 kWh/1000h;E;;;;;16:9;2 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:38;https://www.alza.cz/27-dell-se2723ds-d7225327.htm#parametry;4 689;Skladem > 5 ks;Prodloužená záruka;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;IPS;75 Hz;4 ms;350 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4;Sluchátkový výstup;HDMI;Nastavitelná výška, Filtr modrého světla;;Černá;61,21 cm;40,39 cm;20,57 cm;5,57 kg;20 kWh/1000h;E;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;1 ×;;;99 %;;100×100;FreeSync;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:39;https://www.alza.cz/32-asus-rog-strix-xg32uq-d7612135.htm#parametry;18 990;Skladem > 5 ks;Prodloužená záruka;"32"" (81,28 cm)";4K;3840 × 2160 px;IPS;160 Hz;1 ms;600 cd/m2;10 bit;1000:1;Rovná;DisplayPort 1.4, HDMI 2.1;Sluchátkový výstup, USB 3.2 Gen 1 (USB 3.0);HDMI, DisplayPort, USB;Nastavitelná výška, Flicker-free, Filtr modrého světla;Obraz v obraze (PiP);Černá;72,82 cm;42,85 cm;8,71 cm;8,9 kg;;;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Matný;16:9;2 ×;1 ×;;2 ×;130 %;;100×100;G-Sync kompatibilní, FreeSync Premium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:40;https://www.alza.cz/27-viewsonic-vx2718-2kpc-mhd-gaming-d6341325.htm#parametry;4 590;Skladem;Bez rozšířené záruky;"27"" (68,58 cm)";Quad HD;2560 × 1440 px;VA;165 Hz;1 ms;250 cd/m2;8 bit;4000:1;Prohnutá;DisplayPort 1.2, HDMI 2.0;Sluchátkový výstup;DisplayPort;Reproduktory, Flicker-free, Filtr modrého světla;;Černá;61,1 cm;47,5 cm;22,5 cm;3,9 kg;29 kWh/1000h;G;31 W;0,5 W;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;2 ×;1 ×;;;102 %;;75×75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:41;https://www.alza.cz/27-msi-modern-md271p-d6693496.htm#parametry;3 290;Skladem;Prodloužená záruka;"27"" (68,58 cm)";Full HD;1920 × 1080 px;IPS;75 Hz;5 ms;250 cd/m2;8 bit;1000:1;Rovná;HDMI 1.4, USB-C;Sluchátkový výstup;;Reproduktory, Nastavitelná výška, Pivot, Flicker-free, Filtr modrého světla;Power Delivery;Černá;61,35 cm;40,15 cm;20,08 cm;5,6 kg;26 kWh/1000h;F;;;Česko, Slovensko, Maďarsko, Německo, Rusko, Rakousko, Chorvatsko, Francie, Polsko, Rumunsko, Slovinsko;Antireflexní;16:9;1 ×;;1 ×;;97 %;15 W;75×75;;22 kWh/1000h;;;84 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-17 16:21:43;https://www.alza.cz/24-asus-vg249q-gaming-d5775609.htm#parametry;3 999;Skladem;Prodloužená záruka;"24"" (60,96 cm)";Full HD;1920 × 1080 px;IPS;144 Hz;1 ms;250 cd/m2;;1000:1;Rovná;DisplayPort 1.2, HDMI 1.4, VGA;;HDMI;Reproduktory, Nastavitelná výška, Pivot, Flicker-free;;Černá;54,05 cm;36,5 cm;21,76 cm;6,5 kg;18 kWh/1000h;E;16 W;0,5 W;;Matný;16:9;1 ×;1 ×;;;;;100×100;FreeSync;;;;;1 ×;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
